rahulroy@saturn:~/ws1$ /bin/python3 /home/rahulroy/ws1/best.py
2023-12-05 00:34:23: Starting the 'best' function
2023-12-05 00:34:23: Generating Trajectory
2023-12-05 00:34:23: Trajectory Generated
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
2023-12-05 00:34:23: Applying Feedbackcontrol
