rahulroy@saturn:~/ws1$ /bin/python3 /home/rahulroy/ws1/newTask.py
2023-12-05 00:34:39: Starting the 'newTask' function
2023-12-05 00:34:39: Generating Trajectory
2023-12-05 00:34:40: Trajectory Generated
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
2023-12-05 00:34:40: Applying Feedbackcontrol
