rahulroy@saturn:~/ws1$ /bin/python3 /home/rahulroy/ws1/overshoot.py
2023-12-05 00:34:33: Starting the 'overshoot' function
2023-12-05 00:34:33: Generating Trajectory
2023-12-05 00:34:33: Trajectory Generated
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
2023-12-05 00:34:33: Applying Feedbackcontrol
